,Performance Record,Maturity Group,Genotype ID,State,Year,Location,Yield
13869,13869,5.0,1943,"""MO""",2011,110.0,63.1
13870,13870,3.0,5497,"""NE""",2004,56.0,71.1
13871,13871,3.0,4721,"""IN""",2015,154.0,61.2
13872,13872,2.0,2490,"""ONT""",2010,61.0,60.5
13873,13873,5.0,2323,"""AL""",2009,16.0,46.3
13874,13874,6.0,1470,"""VA""",2003,101.0,61.2
13875,13875,6.0,53,"""MS""",2010,139.0,55.1
13876,13876,3.0,93,"""MO""",2003,70.0,35.6
13877,13877,7.0,51,"""AL""",2014,143.0,55.8
13878,13878,0.0,5470,"""MN""",2003,89.0,32.7
13879,13879,3.0,3716,"""NE""",2009,45.0,40.0
13880,13880,6.0,810,"""AR""",2005,103.0,37.4
13881,13881,4.0,2589,"""VA""",2005,151.0,34.3
13882,13882,3.0,192,"""IN""",2006,154.0,58.6
13883,13883,5.0,2468,"""NC""",2003,107.0,31.2
13884,13884,8.0,5188,"""GA""",2006,7.0,36.3
13885,13885,5.0,1209,"""VA""",2003,151.0,57.4
13886,13886,5.0,1255,"""KS""",2009,81.0,37.0
13887,13887,3.0,4133,"""IL""",2009,148.0,61.7
13888,13888,3.0,2520,"""MO""",2006,38.0,40.5
13889,13889,0.0,2869,"""QUE""",2003,119.0,33.0
13890,13890,2.0,5665,"""IN""",2013,154.0,68.0
13891,13891,5.0,1017,"""NC""",2003,107.0,41.3
13892,13892,0.0,2619,"""ND""",2014,31.0,57.1
13893,13893,2.0,2471,"""AR""",2003,116.0,25.7
13894,13894,1.0,1782,"""MI""",2010,64.0,31.3
13895,13895,8.0,2397,"""AL""",2005,143.0,55.4
13896,13896,-1.0,3532,"""QUE""",2008,73.0,39.5
13897,13897,0.0,5599,"""SD""",2007,153.0,40.2
13898,13898,2.0,202,"""IN""",2010,150.0,36.9
13899,13899,3.0,5334,"""NE""",2008,45.0,84.0
13900,13900,5.0,3480,"""MO""",2005,110.0,68.2
13901,13901,2.0,582,"""IL""",2009,148.0,58.1
13902,13902,5.0,3016,"""MO""",2012,109.0,62.5
13903,13903,3.0,193,"""MO""",2015,110.0,58.6
13904,13904,6.0,4268,"""LA""",2015,22.0,30.6
13905,13905,4.0,5725,"""AR""",2004,103.0,60.5
13906,13906,4.0,2548,"""MD""",2009,113.0,66.0
13907,13907,0.0,5596,"""MN""",2003,89.0,42.3
13908,13908,2.0,3973,"""IN""",2012,154.0,46.7
13909,13909,0.0,1407,"""MN""",2005,89.0,49.6
13910,13910,7.0,2392,"""SC""",2006,54.0,40.5
13911,13911,4.0,1257,"""MS""",2009,139.0,70.2
13912,13912,2.0,502,"""NE""",2012,15.0,42.8
13913,13913,6.0,693,"""OK""",2005,19.0,27.7
13914,13914,3.0,5389,"""IL""",2013,148.0,62.0
13915,13915,6.0,1685,"""AL""",2011,143.0,69.6
13916,13916,5.0,1421,"""IL""",2005,147.0,42.3
13917,13917,7.0,1304,"""AL""",2003,143.0,42.2
13918,13918,2.0,4073,"""IN""",2011,154.0,48.1
13919,13919,3.0,5573,"""IL""",2014,148.0,62.1
13920,13920,5.0,3296,"""AR""",2014,140.0,72.1
13921,13921,5.0,1164,"""NC""",2010,71.0,38.1
13922,13922,4.0,3009,"""KS""",2009,104.0,45.0
13923,13923,1.0,3906,"""IN""",2013,154.0,74.8
13924,13924,4.0,5385,"""KS""",2012,78.0,65.4
13925,13925,4.0,3376,"""MO""",2010,109.0,59.8
13926,13926,6.0,1797,"""AR""",2008,116.0,58.6
13927,13927,3.0,2469,"""OH""",2004,124.0,60.3
13928,13928,2.0,5216,"""MI""",2005,75.0,58.8
13929,13929,3.0,780,"""OH""",2003,63.0,54.7
13930,13930,2.0,636,"""NE""",2012,40.0,88.1
13931,13931,2.0,5569,"""IA""",2013,21.0,53.0
13932,13932,2.0,4976,"""NE""",2011,102.0,93.6
13933,13933,6.0,1018,"""OK""",2005,19.0,22.1
13934,13934,2.0,3853,"""NE""",2011,40.0,72.3
13935,13935,4.0,1982,"""MO""",2003,110.0,53.9
13936,13936,2.0,18,"""IN""",2014,154.0,70.3
13937,13937,4.0,2470,"""KS""",2007,98.0,20.7
13938,13938,4.0,39,"""MO""",2014,110.0,69.0
13939,13939,1.0,3124,"""IN""",2013,154.0,45.6
13940,13940,5.0,379,"""AR""",2011,69.0,76.0
13941,13941,5.0,1424,"""NC""",2005,107.0,53.2
13942,13942,1.0,2619,"""NE""",2014,40.0,24.4
13943,13943,8.0,4381,"""GA""",2005,146.0,46.0
13944,13944,7.0,54,"""GA""",2010,146.0,30.9
13945,13945,0.0,4774,"""QUE""",2006,130.0,53.9
13946,13946,2.0,5616,"""NE""",2007,82.0,48.8
13947,13947,5.0,1210,"""AR""",2003,116.0,41.1
13948,13948,4.0,641,"""TN""",2011,72.0,17.5
13949,13949,0.0,5227,"""SD""",2008,153.0,28.3
13950,13950,3.0,3308,"""NE""",2007,92.0,60.1
13951,13951,3.0,254,"""NE""",2009,92.0,76.8
13952,13952,0.0,2619,"""QUE""",2011,133.0,87.0
13953,13953,2.0,2528,"""IL""",2015,148.0,69.1
13954,13954,5.0,3604,"""KS""",2015,104.0,48.1
13955,13955,5.0,1350,"""MS""",2008,139.0,70.4
13956,13956,4.0,2049,"""KS""",2009,81.0,39.2
13957,13957,2.0,223,"""MI""",2009,64.0,62.6
13958,13958,5.0,2625,"""AR""",2007,103.0,55.9
13959,13959,8.0,1071,"""AL""",2006,51.0,81.1
13960,13960,5.0,1358,"""MS""",2003,135.0,26.2
13961,13961,2.0,4547,"""NE""",2015,40.0,88.5
13962,13962,4.0,1260,"""NC""",2011,108.0,45.7
13963,13963,3.0,5486,"""NE""",2015,159.0,62.6
13964,13964,1.0,3680,"""IN""",2007,154.0,37.4
13965,13965,5.0,2453,"""VA""",2011,151.0,70.5
13966,13966,1.0,17,"""NE""",2008,102.0,87.9
13967,13967,3.0,3921,"""IA""",2008,30.0,70.6
13968,13968,4.0,2750,"""IN""",2007,154.0,60.3
13969,13969,2.0,840,"""IL""",2003,44.0,36.7
13970,13970,0.0,2872,"""MN""",2009,89.0,27.7
13971,13971,3.0,5135,"""NE""",2015,136.0,87.2
13972,13972,2.0,2187,"""IL""",2003,148.0,47.0
13973,13973,1.0,562,"""MI""",2010,118.0,26.8
13974,13974,0.0,1674,"""QUE""",2005,119.0,59.4
13975,13975,3.0,637,"""IL""",2004,148.0,56.0
13976,13976,3.0,2681,"""OH""",2006,126.0,63.1
13977,13977,2.0,3657,"""AR""",2005,116.0,38.3
13978,13978,2.0,105,"""MN""",2015,74.0,56.3
13979,13979,8.0,4841,"""AL""",2007,144.0,23.0
13980,13980,2.0,583,"""MN""",2009,74.0,66.4
13981,13981,2.0,5236,"""OH""",2008,63.0,26.0
13982,13982,2.0,24,"""MI""",2014,75.0,68.4
13983,13983,4.0,1575,"""KS""",2004,104.0,31.9
13984,13984,0.0,2063,"""SD""",2004,24.0,35.3
13985,13985,2.0,4949,"""NE""",2009,15.0,64.4
13986,13986,1.0,3453,"""QUE""",2013,130.0,58.2
13987,13987,5.0,3207,"""MD""",2006,113.0,25.4
13988,13988,0.0,3495,"""ND""",2014,31.0,51.4
13989,13989,3.0,4714,"""IL""",2015,5.0,66.7
13990,13990,2.0,311,"""MI""",2006,75.0,71.2
13991,13991,4.0,964,"""KS""",2003,104.0,18.0
13992,13992,0.0,2007,"""ND""",2012,31.0,56.0
13993,13993,7.0,2413,"""SC""",2009,36.0,34.3
13994,13994,2.0,3040,"""NE""",2004,56.0,59.0
13995,13995,3.0,486,"""NE""",2014,159.0,59.1
13996,13996,2.0,2528,"""ONT""",2007,33.0,67.7
13997,13997,3.0,92,"""MO""",2005,110.0,61.7
13998,13998,7.0,1715,"""SC""",2011,163.0,35.2
13999,13999,0.0,5199,"""ONT""",2004,99.0,47.3
14000,14000,2.0,3890,"""SD""",2013,149.0,45.0
14001,14001,8.0,5780,"""SC""",2009,36.0,35.9
14002,14002,1.0,3250,"""MN""",2006,152.0,61.5
14003,14003,5.0,3296,"""TN""",2014,67.0,42.5
14004,14004,2.0,4014,"""IN""",2009,154.0,54.6
14005,14005,3.0,320,"""IA""",2011,41.0,64.3
14006,14006,4.0,4135,"""MO""",2011,109.0,65.2
14007,14007,-1.0,1678,"""MN""",2013,42.0,40.0
14008,14008,1.0,3568,"""MN""",2012,74.0,38.9
14009,14009,2.0,3964,"""NE""",2010,40.0,94.2
14010,14010,3.0,56,"""NE""",2004,145.0,49.1
14011,14011,0.0,716,"""NE""",2005,56.0,30.2
14012,14012,2.0,5322,"""NE""",2004,15.0,42.4
14013,14013,6.0,4271,"""SC""",2007,36.0,37.5
14014,14014,3.0,3304,"""NE""",2005,56.0,66.6
14015,14015,2.0,5271,"""SD""",2003,18.0,50.1
14016,14016,0.0,2601,"""NE""",2004,15.0,42.3
14017,14017,2.0,4019,"""ONT""",2008,33.0,69.6
14018,14018,5.0,1834,"""KS""",2015,104.0,41.3
14019,14019,2.0,3798,"""IA""",2010,2.0,56.9
14020,14020,1.0,565,"""QUE""",2013,130.0,65.8
14021,14021,4.0,2615,"""VA""",2013,151.0,76.6
14022,14022,1.0,5318,"""NE""",2004,15.0,40.0
14023,14023,1.0,2467,"""NE""",2012,40.0,85.3
14024,14024,8.0,4893,"""GA""",2015,105.0,51.8
14025,14025,4.0,1469,"""AR""",2003,103.0,64.2
14026,14026,1.0,3887,"""SD""",2012,153.0,24.3
14027,14027,7.0,4839,"""AL""",2006,143.0,28.1
14028,14028,5.0,1550,"""AR""",2004,103.0,26.3
14029,14029,6.0,1712,"""SC""",2012,36.0,49.1
14030,14030,5.0,3299,"""AR""",2015,69.0,65.7
14031,14031,3.0,288,"""KS""",2010,6.0,44.3
14032,14032,1.0,4445,"""MI""",2008,64.0,29.6
14033,14033,2.0,3301,"""MN""",2003,152.0,42.0
14034,14034,5.0,48,"""NC""",2012,71.0,49.1
14035,14035,2.0,5771,"""NE""",2014,102.0,100.5
14036,14036,3.0,5140,"""NE""",2007,92.0,56.6
14037,14037,2.0,3820,"""NE""",2006,15.0,64.4
14038,14038,4.0,5557,"""MD""",2007,113.0,35.6
14039,14039,0.0,1670,"""ND""",2006,31.0,57.0
14040,14040,2.0,3745,"""IN""",2004,150.0,59.0
14041,14041,3.0,479,"""NE""",2012,77.0,72.4
14042,14042,1.0,3834,"""QUE""",2008,130.0,54.7
14043,14043,1.0,3886,"""MI""",2012,64.0,30.4
14044,14044,8.0,1312,"""NC""",2007,71.0,39.9
14045,14045,4.0,3049,"""MD""",2003,113.0,36.7
14046,14046,6.0,778,"""AL""",2008,143.0,44.2
14047,14047,4.0,3382,"""VA""",2003,151.0,54.2
14048,14048,0.0,1652,"""QUE""",2009,133.0,53.2
14049,14049,2.0,120,"""SD""",2004,122.0,28.9
14050,14050,5.0,1562,"""OK""",2006,19.0,34.8
14051,14051,5.0,1495,"""AL""",2007,16.0,11.2
14052,14052,5.0,1111,"""KY""",2009,111.0,68.3
14053,14053,5.0,3190,"""AR""",2010,103.0,52.3
14054,14054,7.0,4840,"""AL""",2009,51.0,55.4
14055,14055,0.0,3177,"""AR""",2004,53.0,75.3
14056,14056,4.0,2560,"""IL""",2004,148.0,61.4
14057,14057,2.0,3798,"""ONT""",2008,61.0,49.0
14058,14058,1.0,4979,"""IN""",2013,150.0,48.5
14059,14059,6.0,1463,"""GA""",2007,146.0,66.2
14060,14060,3.0,5135,"""IN""",2014,154.0,69.3
14061,14061,2.0,5279,"""NE""",2007,82.0,68.0
14062,14062,5.0,1092,"""VA""",2011,141.0,42.4
14063,14063,4.0,1972,"""KS""",2004,104.0,41.3
14064,14064,1.0,3109,"""MN""",2006,74.0,45.3
14065,14065,5.0,887,"""MS""",2004,139.0,58.6
14066,14066,5.0,2139,"""KS""",2006,81.0,16.3
14067,14067,0.0,3157,"""MN""",2004,89.0,35.6
14068,14068,8.0,1931,"""NC""",2015,71.0,40.8
14069,14069,1.0,5466,"""QUE""",2003,119.0,34.3
14070,14070,5.0,3729,"""AR""",2006,116.0,60.5
14071,14071,6.0,696,"""SC""",2006,20.0,43.1
14072,14072,0.0,4817,"""QUE""",2014,133.0,97.6
14073,14073,3.0,5487,"""NE""",2015,34.0,70.6
14074,14074,1.0,5739,"""IA""",2008,43.0,37.6
14075,14075,4.0,4090,"""KS""",2009,6.0,68.2
14076,14076,5.0,917,"""AR""",2005,140.0,52.6
14077,14077,-1.0,2001,"""ND""",2012,93.0,54.9
14078,14078,2.0,3964,"""IN""",2010,154.0,59.6
14079,14079,0.0,4307,"""ONT""",2011,134.0,53.5
14080,14080,0.0,5001,"""MN""",2005,117.0,39.1
14081,14081,5.0,3206,"""IL""",2006,147.0,49.9
14082,14082,5.0,2223,"""TN""",2015,129.0,30.6
14083,14083,1.0,260,"""ONT""",2003,142.0,50.0
14084,14084,3.0,1628,"""KS""",2003,78.0,27.8
14085,14085,7.0,54,"""AL""",2011,143.0,48.1
14086,14086,4.0,4365,"""IN""",2013,27.0,66.5
14087,14087,6.0,696,"""MS""",2003,139.0,47.5
14088,14088,2.0,4439,"""SD""",2006,18.0,42.3
14089,14089,3.0,636,"""MO""",2010,38.0,48.9
14090,14090,5.0,1415,"""KS""",2015,81.0,48.9
14091,14091,7.0,888,"""GA""",2011,7.0,31.2
14092,14092,3.0,636,"""IA""",2007,30.0,70.7
14093,14093,6.0,725,"""AL""",2005,16.0,41.6
14094,14094,3.0,3437,"""OH""",2003,123.0,42.0
14095,14095,3.0,65,"""MO""",2007,109.0,62.5
14096,14096,4.0,1846,"""TN""",2007,72.0,24.9
14097,14097,1.0,2611,"""IA""",2006,32.0,40.9
14098,14098,8.0,4882,"""NC""",2015,35.0,23.9
14099,14099,2.0,20,"""AR""",2005,103.0,49.2
14100,14100,8.0,2343,"""GA""",2007,105.0,38.4
14101,14101,2.0,5281,"""MI""",2009,64.0,55.0
14102,14102,2.0,3798,"""OH""",2014,63.0,44.1
14103,14103,6.0,688,"""NC""",2012,107.0,42.2
14104,14104,3.0,4020,"""NE""",2007,92.0,68.5
14105,14105,5.0,1718,"""VA""",2010,151.0,25.7
14106,14106,5.0,1460,"""TX""",2003,112.0,12.8
14107,14107,5.0,1270,"""VA""",2005,151.0,44.7
14108,14108,2.0,5280,"""ONT""",2009,61.0,87.3
14109,14109,4.0,2458,"""OH""",2004,124.0,62.3
14110,14110,5.0,1437,"""KS""",2007,104.0,32.1
14111,14111,3.0,4062,"""OH""",2007,127.0,59.8
14112,14112,3.0,4508,"""IA""",2009,30.0,76.3
14113,14113,2.0,5772,"""OH""",2014,63.0,72.9
14114,14114,3.0,134,"""NE""",2011,34.0,74.1
14115,14115,4.0,2346,"""KY""",2006,111.0,50.9
14116,14116,1.0,2778,"""MN""",2012,152.0,50.4
14117,14117,3.0,4677,"""MO""",2013,38.0,38.7
14118,14118,0.0,2268,"""QUE""",2009,133.0,56.5
14119,14119,3.0,392,"""NE""",2011,77.0,68.7
14120,14120,6.0,1470,"""AL""",2004,16.0,32.1
14121,14121,4.0,667,"""AR""",2013,69.0,68.0
14122,14122,3.0,3792,"""NE""",2009,92.0,75.7
14123,14123,4.0,4023,"""TN""",2005,67.0,43.6
14124,14124,4.0,2614,"""AR""",2004,116.0,82.1
14125,14125,5.0,4695,"""NC""",2010,71.0,29.6
14126,14126,5.0,1711,"""VA""",2010,151.0,27.0
14127,14127,7.0,1336,"""AL""",2004,51.0,52.9
14128,14128,6.0,1692,"""GA""",2015,146.0,83.1
14129,14129,8.0,869,"""GA""",2003,146.0,54.1
14130,14130,2.0,17,"""MI""",2008,64.0,32.3
14131,14131,4.0,3488,"""TX""",2007,39.0,39.8
14132,14132,8.0,2502,"""NC""",2014,71.0,34.5
14133,14133,4.0,2620,"""IL""",2011,46.0,63.8
14134,14134,1.0,3814,"""IA""",2006,32.0,64.4
14135,14135,4.0,2476,"""VA""",2013,151.0,67.6
14136,14136,7.0,980,"""SC""",2006,20.0,59.0
14137,14137,3.0,590,"""KS""",2011,78.0,54.5
14138,14138,4.0,3371,"""IL""",2010,17.0,64.5
14139,14139,7.0,1626,"""GA""",2003,146.0,55.9
14140,14140,4.0,4067,"""IL""",2011,60.0,52.4
14141,14141,5.0,1538,"""MS""",2013,139.0,74.2
14142,14142,-1.0,2595,"""ONT""",2012,99.0,20.3
14143,14143,4.0,2615,"""TN""",2011,67.0,51.3
14144,14144,0.0,2597,"""SD""",2004,24.0,35.0
14145,14145,8.0,1602,"""AL""",2007,143.0,25.8
14146,14146,-1.0,3579,"""ND""",2005,31.0,51.8
14147,14147,4.0,1498,"""AR""",2008,116.0,47.3
14148,14148,7.0,5797,"""GA""",2011,28.0,39.4
14149,14149,4.0,3482,"""IL""",2006,60.0,52.5
14150,14150,3.0,3079,"""IL""",2003,91.0,56.0
14151,14151,1.0,10,"""NE""",2012,15.0,24.5
14152,14152,6.0,625,"""NC""",2010,167.0,14.9
14153,14153,4.0,5564,"""IL""",2015,148.0,70.1
14154,14154,2.0,466,"""NE""",2008,102.0,93.4
14155,14155,6.0,4266,"""AL""",2015,143.0,40.0
14156,14156,4.0,1635,"""IL""",2009,60.0,60.9
14157,14157,2.0,2718,"""MI""",2009,64.0,62.4
14158,14158,1.0,3449,"""MN""",2007,74.0,36.5
14159,14159,5.0,1689,"""KS""",2013,81.0,52.9
14160,14160,8.0,2397,"""NC""",2006,71.0,40.0
14161,14161,4.0,3584,"""DE""",2009,55.0,45.6
14162,14162,5.0,3499,"""MO""",2007,110.0,38.4
14163,14163,2.0,4633,"""OH""",2015,157.0,61.7
14164,14164,2.0,5818,"""IN""",2015,150.0,68.2
14165,14165,3.0,3027,"""KS""",2003,78.0,28.2
14166,14166,6.0,4396,"""VA""",2005,101.0,25.0
14167,14167,8.0,4407,"""GA""",2012,105.0,51.9
14168,14168,2.0,134,"""NE""",2008,15.0,69.7
14169,14169,1.0,4978,"""MN""",2012,152.0,59.3
14170,14170,0.0,4773,"""ND""",2006,31.0,47.4
14171,14171,6.0,727,"""AR""",2004,103.0,49.1
14172,14172,5.0,1711,"""IL""",2009,147.0,52.4
14173,14173,1.0,3739,"""IN""",2004,154.0,44.8
14174,14174,-1.0,1748,"""ND""",2008,93.0,36.3
14175,14175,2.0,5579,"""MN""",2015,152.0,51.1
14176,14176,4.0,2810,"""KS""",2003,104.0,34.1
14177,14177,5.0,4697,"""TN""",2010,67.0,46.2
14178,14178,3.0,3389,"""NE""",2007,136.0,69.5
14179,14179,-1.0,2595,"""MN""",2010,121.0,34.7
14180,14180,3.0,4497,"""NE""",2005,56.0,65.0
14181,14181,3.0,191,"""NE""",2007,92.0,58.1
14182,14182,5.0,2322,"""MD""",2008,113.0,48.3
14183,14183,6.0,725,"""AR""",2004,103.0,57.8
14184,14184,5.0,1900,"""VA""",2012,97.0,47.9
14185,14185,2.0,612,"""ONT""",2005,33.0,59.2
14186,14186,1.0,3498,"""NE""",2013,102.0,78.0
14187,14187,4.0,101,"""MO""",2003,110.0,49.0
14188,14188,4.0,901,"""MO""",2011,38.0,41.9
14189,14189,3.0,3071,"""IA""",2009,30.0,77.2
14190,14190,3.0,322,"""IN""",2003,154.0,54.1
14191,14191,1.0,5457,"""SD""",2004,122.0,22.4
14192,14192,3.0,3326,"""NE""",2003,56.0,46.5
14193,14193,4.0,5598,"""MO""",2009,109.0,30.9
14194,14194,4.0,964,"""VA""",2003,97.0,45.2
14195,14195,2.0,126,"""NE""",2005,15.0,57.5
14196,14196,3.0,5294,"""OH""",2010,126.0,51.8
14197,14197,4.0,5378,"""MD""",2008,113.0,38.8
14198,14198,6.0,4396,"""MS""",2005,139.0,25.4
14199,14199,1.0,4957,"""MI""",2008,64.0,41.4
14200,14200,2.0,504,"""MI""",2012,75.0,43.8
14201,14201,3.0,3803,"""OH""",2005,125.0,45.8
14202,14202,0.0,3645,"""QUE""",2005,130.0,80.5
14203,14203,4.0,1420,"""KS""",2006,81.0,15.9
14204,14204,2.0,4505,"""IA""",2009,2.0,61.9
14205,14205,3.0,533,"""IN""",2007,154.0,56.0
14206,14206,6.0,1025,"""AR""",2005,140.0,48.7
14207,14207,4.0,1472,"""KY""",2007,76.0,42.5
14208,14208,7.0,1332,"""NC""",2003,66.0,42.0
14209,14209,-1.0,4768,"""ONT""",2005,13.0,37.3
14210,14210,4.0,2692,"""AR""",2006,103.0,61.7
14211,14211,7.0,916,"""NC""",2005,71.0,29.2
14212,14212,6.0,2110,"""AR""",2011,140.0,59.9
14213,14213,0.0,5836,"""ONT""",2012,156.0,36.4
14214,14214,4.0,2052,"""NC""",2011,108.0,43.2
14215,14215,1.0,311,"""NE""",2004,40.0,56.0
14216,14216,5.0,42,"""KS""",2013,104.0,38.4
14217,14217,3.0,1545,"""NE""",2009,45.0,40.9
14218,14218,3.0,5363,"""MO""",2010,109.0,52.7
14219,14219,5.0,698,"""NC""",2003,107.0,42.2
14220,14220,4.0,834,"""MO""",2004,109.0,59.5
14221,14221,4.0,381,"""IL""",2013,29.0,66.1
14222,14222,3.0,4527,"""NE""",2012,102.0,77.4
14223,14223,5.0,1880,"""AR""",2012,140.0,70.0
14224,14224,7.0,4836,"""AL""",2007,143.0,45.9
14225,14225,1.0,3798,"""QUE""",2013,130.0,67.0
14226,14226,4.0,902,"""MO""",2011,109.0,74.1
14227,14227,8.0,4382,"""AL""",2006,51.0,81.8
14228,14228,4.0,1534,"""KS""",2010,81.0,37.9
14229,14229,2.0,4956,"""MI""",2008,64.0,34.4
14230,14230,2.0,4936,"""IA""",2008,115.0,42.2
14231,14231,3.0,5326,"""KS""",2004,6.0,65.3
14232,14232,3.0,4494,"""KS""",2004,6.0,60.8
14233,14233,3.0,5354,"""OH""",2014,126.0,61.3
14234,14234,-1.0,4296,"""MN""",2008,87.0,40.3
14235,14235,6.0,1162,"""MS""",2008,139.0,42.0
14236,14236,4.0,2621,"""IN""",2008,154.0,70.8
14237,14237,1.0,4601,"""ONT""",2008,100.0,37.9
14238,14238,2.0,5657,"""MI""",2014,75.0,64.8
14239,14239,5.0,1182,"""VA""",2015,97.0,34.9
14240,14240,3.0,449,"""OH""",2008,126.0,64.4
14241,14241,2.0,4530,"""NE""",2011,40.0,66.6
14242,14242,3.0,2686,"""OH""",2006,126.0,71.7
14243,14243,0.0,4923,"""ND""",2008,31.0,42.3
14244,14244,0.0,2477,"""MN""",2007,117.0,33.1
14245,14245,4.0,5809,"""TX""",2003,112.0,18.3
14246,14246,8.0,1604,"""GA""",2010,146.0,46.5
14247,14247,5.0,2814,"""MS""",2009,139.0,58.7
14248,14248,6.0,1829,"""MS""",2012,139.0,54.5
14249,14249,2.0,4485,"""NE""",2005,56.0,81.8
14250,14250,2.0,3357,"""IL""",2007,148.0,59.3
14251,14251,7.0,5195,"""SC""",2008,54.0,46.0
14252,14252,3.0,636,"""OH""",2010,126.0,53.9
14253,14253,3.0,796,"""KS""",2010,98.0,36.4
14254,14254,7.0,1123,"""AL""",2013,51.0,71.6
14255,14255,3.0,788,"""KS""",2004,6.0,52.6
14256,14256,5.0,2961,"""KS""",2015,81.0,54.2
14257,14257,6.0,706,"""AR""",2009,116.0,71.1
14258,14258,8.0,874,"""AL""",2004,51.0,45.2
14259,14259,0.0,3496,"""ONT""",2009,156.0,50.2
14260,14260,1.0,2164,"""MI""",2008,64.0,32.1
14261,14261,2.0,3833,"""IN""",2009,150.0,48.5
14262,14262,8.0,1478,"""GA""",2003,146.0,53.6
14263,14263,2.0,3757,"""ONT""",2012,61.0,59.1
14264,14264,5.0,1723,"""KS""",2010,104.0,47.5
14265,14265,0.0,149,"""SD""",2003,24.0,34.0
14266,14266,4.0,1363,"""IL""",2008,60.0,82.9
14267,14267,3.0,4062,"""IL""",2007,91.0,53.5
14268,14268,3.0,615,"""OH""",2005,63.0,53.5
14269,14269,2.0,4019,"""NE""",2006,40.0,90.0
14270,14270,1.0,2771,"""IN""",2009,154.0,44.4
14271,14271,4.0,1218,"""MO""",2014,109.0,72.2
14272,14272,2.0,534,"""SD""",2007,10.0,51.6
14273,14273,8.0,3981,"""AL""",2012,143.0,30.0
14274,14274,2.0,2030,"""MI""",2015,64.0,46.6
14275,14275,2.0,490,"""MI""",2012,64.0,57.3
14276,14276,2.0,3964,"""OH""",2010,63.0,55.9
14277,14277,3.0,5135,"""MO""",2012,38.0,46.8
14278,14278,0.0,3191,"""NE""",2005,56.0,64.1
14279,14279,3.0,2547,"""OH""",2007,127.0,56.0
14280,14280,4.0,2562,"""KY""",2004,76.0,79.7
14281,14281,5.0,2623,"""DE""",2005,55.0,31.4
14282,14282,4.0,5524,"""MD""",2004,113.0,53.7
14283,14283,5.0,1172,"""KS""",2012,104.0,19.0
14284,14284,6.0,113,"""NC""",2013,107.0,68.9
14285,14285,1.0,2652,"""MI""",2009,118.0,49.8
14286,14286,5.0,1559,"""AL""",2007,16.0,13.3
14287,14287,2.0,3659,"""ONT""",2003,114.0,57.3
14288,14288,4.0,1353,"""TN""",2008,67.0,26.5
14289,14289,7.0,2452,"""AL""",2008,143.0,37.6
14290,14290,2.0,3315,"""ONT""",2007,61.0,81.9
14291,14291,1.0,4261,"""IN""",2011,154.0,36.3
14292,14292,1.0,292,"""MI""",2008,64.0,32.7
14293,14293,-1.0,4780,"""MN""",2006,87.0,33.4
14294,14294,1.0,5306,"""IA""",2014,68.0,40.0
14295,14295,4.0,2620,"""TX""",2007,39.0,42.6
14296,14296,3.0,3079,"""NE""",2003,106.0,65.2
14297,14297,4.0,4231,"""IL""",2004,60.0,63.2
14298,14298,2.0,3357,"""NE""",2007,40.0,66.0
14299,14299,1.0,743,"""MI""",2013,64.0,30.3
14300,14300,4.0,2693,"""MO""",2010,110.0,63.3
14301,14301,4.0,3401,"""MO""",2006,38.0,32.2
14302,14302,1.0,5017,"""MN""",2008,152.0,43.5
14303,14303,0.0,2177,"""SD""",2010,10.0,45.8
14304,14304,4.0,666,"""IL""",2011,60.0,54.1
14305,14305,0.0,3477,"""MN""",2004,89.0,32.8
14306,14306,4.0,4251,"""KS""",2006,81.0,14.8
14307,14307,2.0,5271,"""ONT""",2003,61.0,48.9
14308,14308,3.0,235,"""MO""",2009,110.0,34.0
14309,14309,3.0,5037,"""IN""",2010,154.0,56.3
14310,14310,0.0,4334,"""MN""",2015,89.0,40.5
14311,14311,2.0,3757,"""IL""",2012,44.0,54.0
14312,14312,2.0,1293,"""IN""",2009,154.0,47.3
14313,14313,4.0,2560,"""MD""",2003,113.0,39.3
14314,14314,7.0,4878,"""GA""",2012,28.0,59.3
14315,14315,4.0,2730,"""MD""",2010,113.0,46.1
14316,14316,5.0,2914,"""MS""",2015,139.0,71.1
14317,14317,1.0,4916,"""IN""",2008,150.0,46.6
14318,14318,5.0,1538,"""TN""",2014,67.0,38.3
14319,14319,4.0,2049,"""AR""",2009,116.0,32.9
14320,14320,4.0,2750,"""IL""",2006,91.0,55.1
14321,14321,5.0,3726,"""KS""",2006,81.0,22.6
14322,14322,2.0,495,"""NE""",2012,102.0,67.9
14323,14323,-1.0,2273,"""ONT""",2009,99.0,45.9
14324,14324,2.0,5695,"""OH""",2013,63.0,56.9
14325,14325,1.0,2771,"""MN""",2007,74.0,37.5
14326,14326,4.0,5783,"""MO""",2007,110.0,49.7
14327,14327,5.0,1722,"""MO""",2012,109.0,70.1
14328,14328,2.0,5458,"""SD""",2004,18.0,46.0
14329,14329,6.0,2622,"""VA""",2008,101.0,26.8
14330,14330,0.0,5836,"""ONT""",2013,134.0,51.8
14331,14331,5.0,1564,"""TN""",2010,129.0,10.7
14332,14332,0.0,2827,"""SD""",2009,10.0,52.5
14333,14333,3.0,159,"""KS""",2008,6.0,44.2
14334,14334,2.0,3833,"""OH""",2009,63.0,57.8
14335,14335,1.0,3226,"""MN""",2004,152.0,40.3
